Cod_Matricula;Descricao_Curso;Modalidade;Instituicao;Ultimo_Periodo_Letivo;Idade;Sexo;Situacao_Matricula;Forma_Ingresso;Semestre_Letivo_Inicial;Tempo;Cor;CR;Fez_Estágio
7216;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2020/1;38;M;Evadido;Ampla Concorrência;2018/2;2;PAR;;Não
36;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;21;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
37;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;F;Concluído;Ampla Concorrência;2005/2;2;NEG;;Não
38;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2008/1;19;M;Evadido;Ampla Concorrência;2005/2;3;PAR;;Sim
39;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;19;F;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
40;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
41;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2006/2;19;M;Evadido;Ampla Concorrência;2005/2;1,5;PAR;;Não
42;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;M;Evadido;Ampla Concorrência;2005/2;2;PAR;;Não
43;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;22;M;Concluído;Ampla Concorrência;2005/2;2;IND;;Sim
44;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;23;F;Evadido;Ampla Concorrência;2005/2;2;PAR;;Não
45;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;18;F;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
46;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;40;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
